# Ledger: Ucapan Belanjawan 2026 (ub26.md), 1279 units from scripts/split-source.js
# Backfilled 2026-09-26 from the text only (no web). gap/ask rows are open questions for the user (step 5).
# unit	decision	note
P1	bulk	
P2	exclude:rhetoric	
P3	bulk	
P4	bulk	
P5	bulk	
P6	bulk	
P7	bulk	
P8	exclude:business	
P9	bulk	
P10	bulk	
P11	exclude:governance	
P12	exclude:governance	
P13	bulk	
P14	bulk	
P15	bulk	
P16	bulk	
P16.1	bulk	
P16.2	bulk	
P16.3	bulk	
P16.4	bulk	
P16.5	bulk	
P17	bulk	
P18	bulk	
P19	bulk	
P20	bulk	
P21	exclude:governance	
P22	bulk	
P23	bulk	
P24	exclude:allocation	
P25	bulk	
P26	exclude:governance	
P27	gap	Pengecualian cukai kenderaan di Langkawi & Labuan dihadkan kepada kenderaan bernilai ≤RM300,000 mulai 1 Jan 2026 (kesan; kawasan)
P28	ask	Potongan cukai penderma program antirasuah (individu penderma)
P29	bulk	
P30	exclude:allocation	
P31	bulk	
P32	bulk	
P33	exclude:allocation	
P34	bulk	
P35	bulk	
P36	bulk	
P36.1	exclude:allocation	
P36.2	exclude:allocation	
P37	bulk	
P38	bulk	
P39	ask	Pindaan Akta Perlindungan Pengguna: Lemon Law (hak pengguna, tiada wang)
P40	exclude:business	
P40.1	bulk	
P40.2	bulk	
P40.3	ask	Tarif elektrik: 85% pengguna tiada kenaikan, pengguna tinggi bayar lebih (kesan?)
P40.4	item:diesel_rm200	
P40.5	exclude:allocation	
P40.6	item:budi95,budi95_ehailing	
P41	exclude:business	
P42	exclude:business	
P42.1	bulk	
P42.2	exclude:infra	
P42.3	bulk	
P42.4	exclude:governance	
P43	exclude:allocation	reviewed
P43.1	exclude:governance	
P43.2	bulk	
P43.3	bulk	
P43.4	bulk	
P43.5	exclude:business	
P43.6	item:tuisyen_madani	
P44	bulk	
P44.1	exclude:governance	
P44.2	bulk	
P44.3	exclude:governance	
P44.4	exclude:governance	
P45	bulk	
P45.1	bulk	
P45.2	bulk	
P45.3	bulk	
P45.4	bulk	
P45.5	bulk	
